targetB,Brand_name
ENSG00000179295,Nubeqa
ENSG00000182511,Nubeqa
ENSG00000182866,Nubeqa
ENSG00000184634,Nubeqa
ENSG00000197122,Nubeqa
ENSG00000204209,Nubeqa
ENSG00000254087,Nubeqa
ENSG00000005339,Erleada
ENSG00000010671,Erleada
ENSG00000084676,Erleada
ENSG00000089280,Erleada
ENSG00000097007,Erleada
ENSG00000101213,Erleada
ENSG00000106462,Erleada
ENSG00000109685,Erleada
ENSG00000110092,Erleada
ENSG00000118058,Erleada
ENSG00000124181,Erleada
ENSG00000129514,Erleada
ENSG00000136504,Erleada
ENSG00000136826,Erleada
ENSG00000140396,Erleada
ENSG00000141027,Erleada
ENSG00000141867,Erleada
ENSG00000141968,Erleada
ENSG00000143322,Erleada
ENSG00000145675,Erleada
ENSG00000157554,Erleada
ENSG00000159388,Erleada
ENSG00000165025,Erleada
ENSG00000167548,Erleada
ENSG00000168036,Erleada
ENSG00000179295,Erleada
ENSG00000182511,Erleada
ENSG00000182866,Erleada
ENSG00000184634,Erleada
ENSG00000197122,Erleada
ENSG00000204209,Erleada
ENSG00000254087,Erleada
ENSG00000078061,Cotellic
ENSG00000100030,Cotellic
ENSG00000108953,Cotellic
ENSG00000078061,Mektovi
ENSG00000100030,Mektovi
ENSG00000108953,Mektovi
ENSG00000105568,Retevmo
ENSG00000108091,Retevmo
ENSG00000109670,Retevmo
ENSG00000110395,Retevmo
ENSG00000124181,Retevmo
ENSG00000160867,Retevmo
ENSG00000164305,Retevmo
ENSG00000168610,Retevmo
ENSG00000170759,Retevmo
ENSG00000081237,Rozlytrek
ENSG00000096384,Rozlytrek
ENSG00000111679,Rozlytrek
ENSG00000124181,Rozlytrek
ENSG00000127329,Rozlytrek
ENSG00000135333,Rozlytrek
ENSG00000140538,Rozlytrek
ENSG00000145675,Rozlytrek
ENSG00000162733,Rozlytrek
ENSG00000206503,Rozlytrek
ENSG00000010671,Tepmetko
ENSG00000081237,Tepmetko
ENSG00000101213,Tepmetko
ENSG00000110395,Tepmetko
ENSG00000111252,Tepmetko
ENSG00000113263,Tepmetko
ENSG00000124181,Tepmetko
ENSG00000127329,Tepmetko
ENSG00000135605,Tepmetko
ENSG00000140538,Tepmetko
ENSG00000143322,Tepmetko
ENSG00000145675,Tepmetko
ENSG00000152894,Tepmetko
ENSG00000165025,Tepmetko
ENSG00000179295,Tepmetko
ENSG00000182511,Tepmetko
ENSG00000182866,Tepmetko
ENSG00000185338,Tepmetko
ENSG00000197122,Tepmetko
ENSG00000254087,Tepmetko
ENSG00000010671,Tabrecta
ENSG00000081237,Tabrecta
ENSG00000101213,Tabrecta
ENSG00000110395,Tabrecta
ENSG00000111252,Tabrecta
ENSG00000113263,Tabrecta
ENSG00000124181,Tabrecta
ENSG00000127329,Tabrecta
ENSG00000135605,Tabrecta
ENSG00000140538,Tabrecta
ENSG00000143322,Tabrecta
ENSG00000145675,Tabrecta
ENSG00000152894,Tabrecta
ENSG00000165025,Tabrecta
ENSG00000179295,Tabrecta
ENSG00000182511,Tabrecta
ENSG00000182866,Tabrecta
ENSG00000185338,Tabrecta
ENSG00000197122,Tabrecta
ENSG00000254087,Tabrecta
ENSG00000078061,Braftovi
ENSG00000095015,Braftovi
ENSG00000096384,Braftovi
ENSG00000108953,Braftovi
ENSG00000133703,Braftovi
ENSG00000174775,Braftovi
ENSG00000039068,Tagrisso
ENSG00000044115,Tagrisso
ENSG00000065361,Tagrisso
ENSG00000080824,Tagrisso
ENSG00000081237,Tagrisso
ENSG00000091831,Tagrisso
ENSG00000092820,Tagrisso
ENSG00000096384,Tagrisso
ENSG00000096968,Tagrisso
ENSG00000097007,Tagrisso
ENSG00000101213,Tagrisso
ENSG00000110395,Tagrisso
ENSG00000111252,Tagrisso
ENSG00000111679,Tagrisso
ENSG00000113263,Tagrisso
ENSG00000124181,Tagrisso
ENSG00000127329,Tagrisso
ENSG00000132155,Tagrisso
ENSG00000133124,Tagrisso
ENSG00000134853,Tagrisso
ENSG00000137193,Tagrisso
ENSG00000138363,Tagrisso
ENSG00000138698,Tagrisso
ENSG00000141968,Tagrisso
ENSG00000142208,Tagrisso
ENSG00000143294,Tagrisso
ENSG00000143322,Tagrisso
ENSG00000144554,Tagrisso
ENSG00000145675,Tagrisso
ENSG00000153707,Tagrisso
ENSG00000165025,Tagrisso
ENSG00000168036,Tagrisso
ENSG00000168610,Tagrisso
ENSG00000179295,Tagrisso
ENSG00000182511,Tagrisso
ENSG00000185499,Tagrisso
ENSG00000197122,Tagrisso
ENSG00000198561,Tagrisso
ENSG00000254087,Tagrisso
ENSG00000039068,Portrazza
ENSG00000044115,Portrazza
ENSG00000065361,Portrazza
ENSG00000080824,Portrazza
ENSG00000081237,Portrazza
ENSG00000091831,Portrazza
ENSG00000092820,Portrazza
ENSG00000096384,Portrazza
ENSG00000096968,Portrazza
ENSG00000097007,Portrazza
ENSG00000101213,Portrazza
ENSG00000110395,Portrazza
ENSG00000111252,Portrazza
